relations__type,relations__sentence,relations__score,relations__arguments__text,relations__arguments__location__001,relations__arguments__location__002,relations__arguments__entities__type,relations__arguments__entities__text,relations__arguments__entities__disambiguation__subtype__-,language,keywords__text,keywords__sentiment__score,keywords__sentiment__label,keywords__relevance,keywords__emotion__sadness,keywords__emotion__joy,keywords__emotion__fear,keywords__emotion__disgust,keywords__emotion__anger,entities__type,entities__text,entities__sentiment__score,entities__sentiment__label,entities__relevance,entities__emotion__sadness,entities__emotion__joy,entities__emotion__fear,entities__emotion__disgust,entities__emotion__anger,entities__disambiguation__subtype__001,entities__disambiguation__subtype__002,entities__disambiguation__subtype__003,entities__disambiguation__subtype__004,entities__disambiguation__name,entities__disambiguation__dbpedia_resource,entities__count
managerOf,"No I have never been approached by my bank or such insurance to offer me a disability insurance, or then I l have received by my bank by advertising form, which I look virtually continuous, indeed, those Are often made pub for a particular loan.","50,16%",my,282,284,Person,my,,,insurance house,"0,00%",neutral,"86,09%","8,28%","2,73%","32,69%","1,54%","18,12%",,,,,,,,,,,,,,,,,
,,,bank,285,289,Organization,insurance house,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,"No I have never been approached by my bank or such insurance to offer me a disability insurance, or then I l have received by my bank by advertising form, which I look virtually continuous, indeed, those Are often made pub for a particular loan.","70,16%",my,373,375,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bank,376,380,Organization,insurance house,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clientOf,Without help I must make a folder to my lawyer and I have great difficulty to be lack of concentration by my disease.,"68,73%",my,58,60,Person,you,,en,ShpWOAppointment visit parents,"0,00%",neutral,"93,09%","65,15%","17,79%","3,46%","14,25%","11,91%",HealthCondition,lack of concentration,"-83,99%",negative,"83,24%","23,26%","53,39%","11,89%","2,44%","10,32%",,,,,,,1
,,,lawyer,61,67,Person,lawyer,,,perf ketamine,"0,00%",neutral,"73,79%","16,81%","18,25%","7,09%","4,71%","5,28%",,,,,,,,,,,,,,,,,
ownerOf,"Meals evening, TV until late and relaxation music for m'endormir.Avec pain, I compels me to leave my dog.","80,79%",my,669,671,Person,you,,,granny bitch,"-41,03%",negative,"73,69%","10,37%","3,84%","8,37%","15,84%","73,46%",,,,,,,,,,,,,,,,,
,,,dog,672,675,Animal,dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,Meet my neighbours.,"38,73%",my,682,684,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,neighbours,685,695,Person,neighbours,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,Is to my knee was in jai accident work for 18mois but since j was cdd jaurez sign my Settlement Region but it na could not knowing that it faiser has just two months j etai in the box therefore c just confe my compensation for 18 months following a which I keep 9percent of sequelle and that if my compensation by the confe been capitaldonc l c impact today that I perceive nothing except unemployment and to take a job m is impossible until the course M not employment assistance has gratified me and this and very difficult for me because neither standing nor sitting too long or wear weight then person maide has to find a job to adapt,"68,16%",my,82,84,Person,my,,en,jai accident work,"0,00%",neutral,"91,60%","28,67%","6,99%","50,72%","10,63%","22,30%",Person,j,"0,00%",neutral,"33,00%","76,28%","11,38%","14,87%","1,83%","6,23%",,,,,,,1
,,,Settlement Region,85,102,Organization,Settlement Region,,,Settlement Region,"0,00%",neutral,"71,67%","40,28%","10,67%","11,59%","9,17%","7,46%",,,,,,,,,,,,,,,,,
,,,,,,,,,,jaurez sign,"0,00%",neutral,"69,46%","40,28%","10,67%","11,59%","9,17%","7,46%",,,,,,,,,,,,,,,,,
hasAttribute,I am between 55et75% invalid for MDPH.Aujourd'hui my financial situation is not pink.,"43,36%",I,273,274,Person,your,,en,folder CAF.Donc,"0,00%",neutral,"94,02%","15,19%","50,99%","11,33%","5,40%","14,44%",,,,,,,,,,,,,,,,,
,,,55et75,286,292,Money,55et75,,,financial situation,"-77,43%",negative,"85,03%","81,13%","7,07%","6,20%","8,82%","7,54%",,,,,,,,,,,,,,,,,
spouseOf,It is my wife who works for bring over our budget.,"68,53%",my,365,367,Person,your,,,monthly compensation,"-31,71%",negative,"77,12%","44,39%","4,75%","1,77%","2,90%","37,27%",,,,,,,,,,,,,,,,,
,,,wife,368,372,Person,wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOfMany,It is my wife who works for bring over our budget.,"74,47%",who,373,376,Person,wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,our,398,401,Person,our,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"Hello, I have a hard time doing things as I was before my illness, my arm, my neck make me wrong I can't extend the linen in one fell swoop but must I resume several times and the dryer must be my height and not too high, idem for everything I do in the house.","68,31%",I,242,243,Person,my,,en,fell swoop,"-55,00%",negative,"93,14%","41,03%","2,49%","26,01%","25,26%","40,50%",,,,,,,,,,,,,,,,,
,,,house,254,259,Facility,house,,,hard time,"-24,90%",negative,"79,14%","74,80%","5,38%","28,58%","1,15%","7,51%",,,,,,,,,,,,,,,,,
,,,,,,,,,,highest point,"-84,87%",negative,"75,58%","2,77%","1,67%","1,76%","1,77%","84,66%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,definitive diagnosis,"41,49%",positive,"99,79%","21,17%","9,72%","46,27%","5,49%","12,59%",,,,,,,,,,,,,,,,,
,,,,,,,,,,medical diagnosis,"-57,22%",negative,"93,75%","37,62%","2,34%","44,30%","10,85%","7,85%",,,,,,,,,,,,,,,,,
,,,,,,,,,,sexologist,"-43,23%",negative,"74,50%","13,30%","16,01%","8,54%","3,62%","6,17%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,insurance cover,"-54,08%",negative,"93,06%","16,27%","2,77%","39,02%","3,38%","8,32%",,,,,,,,,,,,,,,,,
,,,,,,,,,,insurance agent,"-41,80%",negative,"90,75%","37,69%","15,01%","24,45%","0,96%","6,64%",,,,,,,,,,,,,,,,,
,,,,,,,,,,risks,"-54,08%",negative,"77,27%","16,27%","2,77%","39,02%","3,38%","8,32%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"J have also taken l used to wash me with the left hand, indeed a pressure on my hand causing me douleurs.mon son who plays in a basketball club, I have installed a basket home, I played almost basketball with him, however we play football.","87,94%",I,403,404,Person,me,,en,club table tennis,"0,00%",neutral,"94,17%","8,44%","41,13%","4,80%","25,37%","27,91%",Sport,basketball,"0,00%",neutral,"94,77%","56,94%","15,28%","29,34%","11,29%","6,65%",Invention,FieldOfStudy,AwardDiscipline,OlympicEventCompetition,Basketball,http://dbpedia.org/resource/Basketball,1
,,,installed,410,419,EventCommunication,installed,,,left hand,"0,00%",neutral,"87,66%","10,87%","34,65%","15,92%","23,34%","22,36%",,,,,,,,,,,,,,,,,
,,,,,,,,,,randomized trial,"-42,97%",negative,"76,09%","49,62%","8,17%","7,65%","6,63%","10,90%",,,,,,,,,,,,,,,,,
agentOf,"Day type is a lift at 6:45 AM, for a hiring 08h00ma working day is 8:00 AM to 12:00 PM and 1:30 PM to 16h30,mon works is currently managing different domain such as claims, photocopiers or telephony and the implementation of the vidéoprotection.","52,10%",08h00ma,44,51,Person,08h00ma,,en,favorite moments,"90,74%",positive,"93,82%","13,51%","64,93%","1,84%","1,08%","2,05%",,,,,,,,,,,,,,,,,
,,,hiring,37,43,EventPersonnel,hiring,,,different domain,"0,00%",neutral,"87,79%","22,64%","5,26%","14,89%","1,71%","4,60%",,,,,,,,,,,,,,,,,
,,,,,,,,,,games Internet,"90,74%",positive,"78,46%","13,51%","64,93%","1,84%","1,08%","2,05%",,,,,,,,,,,,,,,,,
agentOf,"In early 2007, I found several physical abnormalities, so I consulted my doctor who told me that this was not much and prescribed me a simple treatment.","99,10%",who,80,83,Person,specialist dermatologist,,en,center regional hospital,"-26,24%",negative,"95,12%","28,64%","6,59%","12,67%","5,06%","10,26%",Person,Eric VIART,"0,00%",neutral,"99,75%","27,24%","11,18%","3,55%","33,94%","10,40%",,,,,,,1
,,,told,84,88,EventCommunication,told,,,physical abnormalities,"-52,79%",negative,"78,21%","36,14%","11,55%","16,56%","14,29%","11,49%",,,,,,,,,,,,,,,,,
affectedBy,"In early 2007, I found several physical abnormalities, so I consulted my doctor who told me that this was not much and prescribed me a simple treatment.","90,37%",me,89,91,Person,me,,,specialist dermatologist,"0,00%",neutral,"75,35%","11,72%","7,82%","18,13%","9,07%","7,61%",,,,,,,,,,,,,,,,,
,,,told,84,88,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"He has done a levy and took appt center regional hospital, for a very specialized consultation.","41,59%",He,278,280,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,hospital,327,335,Organization,hospital,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,
participantIn,"He has done a levy and took appt center regional hospital, for a very specialized consultation.","80,18%",He,278,280,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,consultation,360,372,EventMeeting,consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"He has done a levy and took appt center regional hospital, for a very specialized consultation.","33,91%",hospital,327,335,Organization,hospital,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,consultation,360,372,EventMeeting,consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"With relatives, separation in 2009, then hospitalization in convalescent home for 2 months.","61,43%",relatives,644,653,Person,relatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,home,712,716,Facility,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"I am connected Monday 12:00 PM, this .oui I will answer your questions","80,85%",I,42,43,Person,I,,en,Monday,"0,00%",neutral,"98,88%","31,54%","38,12%","4,30%","0,45%","6,08%",,,,,,,,,,,,,,,,,
,,,answer,49,55,EventCommunication,answer,,,PM,"23,25%",positive,"85,95%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
,,,,,,,,,,questions,"0,00%",neutral,"83,18%","12,21%","9,42%","5,66%","6,54%","13,01%",,,,,,,,,,,,,,,,,
agentOf,"Disabled, unable, nuisance-If we suddenly change how we talk about disability, what would be the most important concepts to communicate?","97,94%",we,455,457,Person,those,,en,different forms,"0,00%",neutral,"96,50%","22,27%","18,21%","2,03%","2,67%","4,20%",,,,,,,,,,,,,,,,,
,,,talk,458,462,EventCommunication,talk,,,permanent state,"0,00%",neutral,"94,01%","24,72%","16,20%","12,14%","35,59%","11,18%",,,,,,,,,,,,,,,,,
,,,,,,,,,,important concepts,"0,00%",neutral,"93,61%","10,24%","27,99%","9,62%","10,10%","9,62%",,,,,,,,,,,,,,,,,
employedBy,"If I want to ""ensure"" a minimum in my business, I must absolutely reduce my efforts in the newspaper.","45,52%",my,166,168,Person,My,,en,home help,"-69,90%",negative,"93,41%","25,05%","19,05%","5,43%","11,06%","5,21%",,,,,,,,,,,,,,,,,
,,,newspaper,184,193,Organization,newspaper,Commercial,,minimum,"0,00%",neutral,"73,46%","19,99%","24,30%","2,67%","6,30%","6,78%",,,,,,,,,,,,,,,,,
,,,,,,,,,,failure,"-56,63%",negative,"71,86%","57,38%","9,92%","22,95%","18,70%","8,07%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,error,"-46,76%",negative,"94,38%","64,64%","2,89%","21,41%","6,45%","27,79%",Quantity,10 minutes,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
agentOf,"Made when the doctor told me the consequences, I think that outside people have thought I was extremely well because it was the case ... it is very difficult to explain but I have not collapsed, I cannot say why I am automatically said you're like that you responsibiIity and you fight for you out.","93,45%",doctor,14,20,Person,doctor,,en,consequences,"0,00%",neutral,"92,43%","19,13%","10,43%","37,11%","6,83%","27,54%",,,,,,,,,,,,,,,,,
,,,told,21,25,EventCommunication,told,,,doctor,"0,00%",neutral,"75,89%","19,13%","10,43%","37,11%","6,83%","27,54%",,,,,,,,,,,,,,,,,
affectedBy,"Made when the doctor told me the consequences, I think that outside people have thought I was extremely well because it was the case ... it is very difficult to explain but I have not collapsed, I cannot say why I am automatically said you're like that you responsibiIity and you fight for you out.","89,75%",me,26,28,Person,you,,,people,"0,00%",neutral,"74,74%","35,55%","12,05%","26,44%","23,70%","29,00%",,,,,,,,,,,,,,,,,
,,,told,21,25,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"Made when the doctor told me the consequences, I think that outside people have thought I was extremely well because it was the case ... it is very difficult to explain but I have not collapsed, I cannot say why I am automatically said you're like that you responsibiIity and you fight for you out.","55,84%",I,88,89,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,case,128,132,EventLegal,case,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"Made when the doctor told me the consequences, I think that outside people have thought I was extremely well because it was the case ... it is very difficult to explain but I have not collapsed, I cannot say why I am automatically said you're like that you responsibiIity and you fight for you out.","97,20%",I,212,213,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,said,231,235,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,good times,"55,14%",positive,"90,75%","4,82%","87,21%","0,43%","1,95%","3,97%",,,,,,,,,,,,,,,,,
,,,,,,,,,,job time,"0,00%",neutral,"80,54%","48,01%","27,14%","9,54%","7,08%","11,13%",,,,,,,,,,,,,,,,,
,,,,,,,,,,free time,"0,00%",neutral,"79,54%","48,01%","27,14%","9,54%","7,08%","11,13%",,,,,,,,,,,,,,,,,
affiliatedWith,Least enjoyable moments of the day are different depending on the intensity of my douleursle time more difficult it really is the morning local Christian churches and at the time of the toilet or I realize that I cannot make an example to,"85,92%",churches,154,162,Organization,churches,,en,morning local Christian,"-49,75%",negative,"92,63%","57,93%","21,96%","6,05%","20,94%","7,10%",,,,,,,,,,,,,,,,,
,,,Christian,144,153,Person,Christian,,,douleursle time,"-49,75%",negative,"62,42%","57,93%","21,96%","6,05%","20,94%","7,10%",,,,,,,,,,,,,,,,,
,,,,,,,,,,intensity,"-49,75%",negative,"47,48%","57,93%","21,96%","6,05%","20,94%","7,10%",,,,,,,,,,,,,,,,,
agentOf,It is pourcela that I said my question.,"99,70%",I,20,21,Person,you,,en,financial assistance,"45,55%",positive,"97,65%","7,22%","8,31%","1,19%","3,34%","1,35%",Location,Edmond,"83,25%",positive,"86,54%","0,05%","79,34%","0,04%","0,12%","0,39%",City,,,,,,1
,,,said,22,26,EventCommunication,said,,,girlfriend,"0,00%",neutral,"87,27%","20,81%","47,69%","14,84%","9,72%","5,84%",,,,,,,,,,,,,,,,,
,,,,,,,,,,question,"0,00%",neutral,"85,55%","31,91%","7,52%","11,45%","11,85%","16,92%",,,,,,,,,,,,,,,,,
agentOf,"Hello, as regards the initial declaration of my state of health social security, I could not tell you much about my ex girlfriend at the time was occupied this approach; All I can tell you is that these approaches are long and tedious, adding a more handicap.EN WITH REGARD TO interlocutors, Unfortunately we are treated as any insured lambda, so our folder password person in person and I consider it There is no follow-up individualized; And I would say that each call I have had different interlocutors, since no phone number is provided","96,00%",I,444,445,Person,my,,en,folder password person,"0,00%",neutral,"93,04%","40,17%","10,71%","10,36%","7,78%","16,28%",,,,,,,,,,,,,,,,,
,,,say,452,455,EventCommunication,say,,,health social security,"0,00%",neutral,"85,68%","5,96%","24,75%","25,62%","3,44%","3,74%",,,,,,,,,,,,,,,,,
,,,,,,,,,,ex girlfriend,"0,00%",neutral,"75,63%","49,22%","14,87%","19,82%","12,04%","8,25%",,,,,,,,,,,,,,,,,
agentOf,"J d have first said my accident has my employer, I am then went to my doctor, who put off my work (accident work) j have given 1 or 2 copies has the social security.","95,46%",J d,0,3,Person,J d,,en,social security,"-61,09%",negative,"97,77%","15,82%","3,73%","30,27%","3,64%","23,30%",,,,,,,,,,,,,,,,,
,,,said,15,19,EventCommunication,warned,,,accident work,"-59,47%",negative,"86,18%","48,74%","4,99%","37,70%","4,77%","10,55%",,,,,,,,,,,,,,,,,
agentOf,"J d have first said my accident has my employer, I am then went to my doctor, who put off my work (accident work) j have given 1 or 2 copies has the social security.","44,71%",my,20,22,Person,my,,,employer,"-57,75%",negative,"51,66%","57,41%","12,33%","21,10%","8,64%","12,99%",,,,,,,,,,,,,,,,,
,,,accident,23,31,NaturalDisaster,accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,J have been warned that the social security have received my mail.,"86,20%",J,166,167,Person,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,warned,178,184,EventCommunication,warned,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,daily ordeal,"0,00%",neutral,"96,86%","25,18%","61,65%","11,27%","1,97%","0,97%",Hashtag,#,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,,,,,,,,distinctive face,"0,00%",neutral,"96,35%","25,18%","61,65%","11,27%","1,97%","0,97%",,,,,,,,,,,,,,,,,
,,,,,,,,,,puver change,"0,00%",neutral,"77,19%","25,18%","61,65%","11,27%","1,97%","0,97%",,,,,,,,,,,,,,,,,
managerOf,"My parents came at the beginning, because I have not been able to drive for several months, c was lead me day, when I had to go to my bank, or for different services.","64,20%",my,131,133,Person,his,,en,hand valid maximum,"34,94%",positive,"99,07%","8,14%","58,72%","3,69%","1,69%","14,25%",Quantity,12 years,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,bank,134,138,Organization,bank,,,heavy loads,"-69,05%",negative,"93,62%","69,87%","6,31%","11,23%","18,09%","19,64%",,,,,,,,,,,,,,,,,
parentOf,"My children were 12 years has this time and they were more has some taches.Actuellement, I have d n need help, unless I must raise some heavy loads,, I ask ugly because I raised that heavy loads that the left hand.","46,77%",My,215,217,Person,his,,,different services,"0,00%",neutral,"76,83%","24,18%","8,52%","0,90%","8,75%","12,84%",,,,,,,,,,,,,,,,,
,,,children,218,226,Person,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"My children were 12 years has this time and they were more has some taches.Actuellement, I have d n need help, unless I must raise some heavy loads,, I ask ugly because I raised that heavy loads that the left hand.","99,30%",I,365,366,Person,his,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ask,367,370,EventCommunication,ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,"BonjourOui, it was the foresight of my company (Malakoff).","41,26%",my,36,38,Person,BonjourOui,,en,foresight,"0,00%",neutral,"93,51%","20,04%","12,42%","3,97%","5,03%","6,24%",Company,Malakoff,"0,00%",neutral,"33,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,1
,,,company,39,46,Organization,Malakoff,Commercial,,BonjourOui,"0,00%",neutral,"57,34%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
,,,,,,,,,,company,"0,00%",neutral,"56,75%","20,04%","12,42%","3,97%","5,03%","6,24%",,,,,,,,,,,,,,,,,
agentOf,From the 4th month doctor began suggesting that I was doing comedy and told me that if it continued it would send in an expert.,"75,24%",I,187,188,Person,me,,en,medicine work,"-23,18%",negative,"97,48%","31,22%","17,61%","23,22%","3,83%","5,72%",,,,,,,,,,,,,,,,,
,,,told,210,214,EventCommunication,told,,,expert,"52,64%",positive,"85,44%","21,19%","25,66%","12,70%","3,93%","8,08%",,,,,,,,,,,,,,,,,
affectedBy,From the 4th month doctor began suggesting that I was doing comedy and told me that if it continued it would send in an expert.,"91,08%",me,215,217,Person,me,,,Hello,"53,13%",positive,"74,17%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
,,,told,210,214,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,sporting activity,"-54,20%",negative,"93,98%","5,29%","4,56%","16,53%","8,49%","9,39%",,,,,,,,,,,,,,,,,
,,,,,,,,,,pleasant things,"0,00%",neutral,"84,86%","21,02%","40,93%","21,71%","9,48%","8,26%",,,,,,,,,,,,,,,,,
,,,,,,,,,,various things,"0,00%",neutral,"79,16%","13,12%","43,24%","9,82%","6,23%","8,08%",,,,,,,,,,,,,,,,,
timeOf,"There are two in 2015, I asked a posting on a more administrative position in technical service, something that was given to me by a employeur.","68,05%",2015,123,127,Date,2015,,en,workstation workstation official,"0,00%",neutral,"94,12%","7,90%","56,78%","7,34%","10,14%","17,12%",Company,ATI,"-23,16%",negative,"89,99%","0,00%","0,00%","0,00%","0,00%","0,00%",ProcessorManufacturer,,,,Advanced Micro Devices,http://dbpedia.org/resource/Advanced_Micro_Devices,1
